created_at,id,like_count,author_id,reply_to_id,replied_to_user_id,tweet
2021-02-24 15:54:57+00:00,1364604739623747586,0,268370246,1364268814360215552,38410853,"@ctbto_alerts @Morocco_Austria Congratulations, good luck ;-)"
2021-01-24 11:11:32+00:00,1353299392267083776,0,59130232,1352903191231254529,38410853,"@ctbto_alerts In addition
# Rat her than mil-itary-force or bioterrorism,
state of the ART tech must contribute to the living environment; 
and expansion of the global ecosystem is also difficult to achieve without the cooperation of all humankind;https://t.co/GT4zxm31Su и я priè 祈ａloneGtNΦ."
2021-01-23 15:01:46+00:00,1352994940914180097,0,74743684,1352994239458717697,38410853,@ctbto_alerts @SinaZerbo Update on Unofficial #NuclearProliferation: #Israel #Egypt #SaudiArabia #IranDeal #GoodNeighbours #NUMEC #TacticalNukes #USForeignPolicy #Yemen #Iran #Syria #NKorea https://t.co/V6SsXZBRee &amp; https://t.co/zBw2QhSxVW #Arafel https://t.co/cjOZQPrzzs
2021-01-22 02:13:29+00:00,1352439210200936448,0,235048522,1352202976975331328,38410853,@ctbto_alerts @UNjobs Are there any openings for volunteers and educational services would like to work with the unicef.
2021-05-26 20:18:11+00:00,1397648279798788097,0,1351272983617265667,1397496982315356162,38410853,"@ctbto_alerts @SinaZerbo @bayramov_jeyhun @AzerbaijanMFA 🇦🇿 invaded Armenia Proper for 2 weeks now &amp; even k¡[[ed 2 Armenians on Armenians soil! 🇦🇿 violates against human rights daily, almost every day an Armenian gets k¡[[ed by 🇦🇿is! Villagers get kidnapped, their cattle shot, over 300 Armenians are illegaly held hostage by 🇦🇿! https://t.co/FbV09Syzub"
2021-05-22 09:40:40+00:00,1396038291791745027,0,775224083394994176,1395781605290123270,38410853,@ctbto_alerts @_RobFloyd @SinaZerbo Congratulations and good riddance of your predecessor!
2021-05-22 02:00:42+00:00,1395922537486430209,0,1357400695327064064,1395781605290123270,38410853,"@ctbto_alerts @_RobFloyd @SinaZerbo At least zebras not gona make anymore decisions on nukes tests..
Thank you Madre Maria &amp; Padre Clemente...."
2021-05-15 01:16:56+00:00,1393374808289644544,0,1220161548284350464,1392086199955767297,38410853,@ctbto_alerts @maria_chepurina @ODA_Geneva Now it is time to put an end of all nuclear weapons and the test this is a very good time but didn't the pending make many country are fighting against each other with missiles and rockets it is not good all the weapons and nuclear weapons should be banned by CTBT effort
2021-05-07 12:13:20+00:00,1390640893279948800,0,1239874700551114752,1388144342095773698,38410853,@ctbto_alerts The Palestinians are being harmed by the bombs every day and no world organization is supporting them. Does saving their lives matter in your idea?!!
2021-05-07 09:10:14+00:00,1390594815117729798,2,1338180048352915458,1388144342095773698,38410853,"@ctbto_alerts In 2014 another Israeli onslaught on Gaza, this one lasting 51 days, kills upwards of 2200 Palestinians, most of them civilians.      #FreePalestine    #القدس_أقرب"
2021-05-07 08:31:24+00:00,1390585041801990144,1,1351237420088487939,1388144342095773698,38410853,@ctbto_alerts Why you are ignoring Palestinians rights? They are under the oppressions and you are silent!
2021-05-07 06:59:33+00:00,1390561927731027972,3,1225446807230144515,1388144342095773698,38410853,"@ctbto_alerts Zionists have a high number of nuclear bombs,  what did you for that?
They are killing innocent Palestinians!"
2021-05-07 06:32:28+00:00,1390555110460334080,2,1351039038355087364,1388144342095773698,38410853,"@ctbto_alerts What have you done for the Palestinian's happiness so far?
Are your projects and decisions only toward the benefits of specific people?"
2021-05-07 06:16:04+00:00,1390550983357386756,1,1313502637850009600,1388144342095773698,38410853,"@ctbto_alerts this was a report on violent incidents by Russia, Syria, Venezuela, or any of the nations in NATO's crosshairs. Media would be howling with outrage and faked tears, with demands for heads to roll, or at least for perpetrators to face justice.Isn't human rights for Palestinians?"
2021-05-07 05:06:30+00:00,1390533477628579841,3,1244329158114709504,1388144342095773698,38410853,@ctbto_alerts The silence of human rights organizations like yours is killing the Palestinian people. Aren't they human?
2021-05-07 04:40:36+00:00,1390526960812580865,5,1222255554246017026,1388144342095773698,38410853,"@ctbto_alerts Why does the international community only talk about human rights, security, etc and make claims, but in practice violate it?
Why can't the Palestinian people have security in their homes?
why don't they even have safe drinking water?

What does HUMAN RIGHTS mean⁉️"
2021-05-07 04:36:59+00:00,1390526049826611206,5,1174210819787243520,1388144342095773698,38410853,"@ctbto_alerts In Palestine, their basic rights are still not respected.Why????"
2021-04-29 01:25:20+00:00,1387578715647868931,0,1220161548284350464,1387335745828950019,38410853,@ctbto_alerts Thanks for Very informative and interesting information. I will certainly do. I wish great success of this meeting
2021-05-07 07:32:47+00:00,1390570289449275400,0,1185255903106392064,1385548931506049027,38410853,@ctbto_alerts @mbkalinowski @MarioZampolli @maria_chepurina @flortrillo @JennyNielsenNPT Palestinian children also have the right to go to the library and study in peace. But their rights have been violated by Zionist usurpers for years.
2021-04-23 18:10:43+00:00,1385657402041802756,1,268370246,1385548931506049027,38410853,"@ctbto_alerts @mbkalinowski @MarioZampolli @maria_chepurina @flortrillo @JennyNielsenNPT Well done, interesting 
@agrebimannou"
2021-04-23 11:27:39+00:00,1385555967178420226,2,2592817392,1385548931506049027,38410853,"@ctbto_alerts @mbkalinowski @MarioZampolli @maria_chepurina @flortrillo @JennyNielsenNPT World book day? You mean Sant Jordi, right? In my country - Catalunya-, Sant Jordi's day, has been associated with books and roses for centuries!!!....For the rest...Wish you a good celebration!"
2021-04-21 22:10:15+00:00,1384992907053109255,0,113413190,1384867851388002307,38410853,@ctbto_alerts @SinaZerbo @BakhtariManizha HE @SinaZerbo has done tremendous jobs in his tenure.
2021-04-21 19:29:39+00:00,1384952491457056771,1,985431488,1384867851388002307,38410853,@ctbto_alerts @SinaZerbo @BakhtariManizha Very welcome To Her excellency..
2021-04-06 12:38:05+00:00,1379413097526398987,0,1214350262,1379410336424599555,38410853,"@ctbto_alerts Super! Hope the vacancy is open to non-CTBTO members like India?

Given that the work is with both members n non-members, this might be a good idea, especially with a qualified Indian on board?"
2021-03-04 05:24:38+00:00,1367345215971950597,0,1238147132210794498,1367048428925186051,38410853,@ctbto_alerts Congratulations 🎆👏
2021-09-23 17:23:50+00:00,1441090947064877065,0,1436303976878600192,1431813868821651461,38410853,@CTBTO @GermanyUN Thank you！
2021-08-29 18:27:37+00:00,1432047303049846785,0,17184615,1431813868821651461,38410853,@ctbto_alerts What a fabulous day.
2021-08-29 11:59:17+00:00,1431949575506382848,0,1220161548284350464,1431813868821651461,38410853,@ctbto_alerts Very great 👍 sir
2021-08-29 05:19:49+00:00,1431849044654034948,2,1419750580675923977,1431813868821651461,38410853,@ctbto_alerts Chile supports CTBT and calls for prompt ratification. 2000 plus since 1945 is too many. 1 is too many!
2021-08-28 15:30:25+00:00,1431640318332465160,0,1220161548284350464,1431581467679862789,38410853,@ctbto_alerts We shouldn't forget it
2021-08-26 17:54:26+00:00,1430951787121491968,12,1419750580675923977,1430910665003212810,38410853,@ctbto_alerts @ThomasSilvy @_RobFloyd It is of the upmost importance to highlight Kazakhstan’s 🇰🇿  outstanding commitment. Others should follow. Thank you for reminding us it is possible. @Vienna_kz @Youth4CTBT @CtbtNdc @cchen_gob @nuclearban
